Arbitro,fecha,Estadio,Ciudad,Temporada,Ronda,Equipo de casa,Equipo visita,home_win,away_win,home_goals,away_goals,home_goals_half_time,away_goals_half_time,home_goals_fulltime,away_goals_fulltime,home_goals_extra_time,away_goals_extratime,home_goals_penalty,away_goals_penalty
L. Santander,2022-07-02T22:00:00+00:00,Estadio Victoria de Aguascalientes,Aguascalientes,2022,Apertura - 1,Necaxa,Toluca,False,True,1.0,3.0,1.0,2.0,1.0,3.0,,,,
D. Quintero,2022-07-02T02:05:00+00:00,Estadio de Mazatlán,Mazatlán,2022,Apertura - 1,Mazatlán,Puebla,False,True,2.0,4.0,0.0,2.0,2.0,4.0,,,,
I. Lopez,2022-07-02T22:00:00+00:00,Estadio AKRON,Zapopan,2022,Apertura - 1,Guadalajara Chivas,FC Juarez,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Ó. Mejía,2022-07-03T00:05:00+00:00,Estadio Universitario de Nuevo León,San Nicolás de los Garza,2022,Apertura - 1,Tigres UANL,Cruz Azul,False,True,2.0,3.0,0.0,1.0,2.0,3.0,,,,
F. Guerrero,2022-07-03T02:05:00+00:00,Estadio Azteca,D.F.,2022,Apertura - 1,Club America,Atlas,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
A. Escobedo,2022-07-03T17:00:00+00:00,Estadio Olímpico de Universitario,D.F.,2022,Apertura - 1,U.N.A.M. - Pumas,Club Tijuana,,,1.0,1.0,0.0,1.0,1.0,1.0,,,,
F. Hernández,2022-07-03T22:00:00+00:00,Estadio Alfonso Lastras Ramírez,San Luis Potosí,2022,Apertura - 1,Atletico San Luis,Leon,False,True,1.0,2.0,0.0,1.0,1.0,2.0,,,,
J. Pérez,2022-07-04T00:05:00+00:00,Estadio Nuevo Corona,Torreón,2022,Apertura - 1,Santos Laguna,Monterrey,True,False,4.0,3.0,2.0,2.0,4.0,3.0,,,,
C. Ramos,2022-07-05T02:00:00+00:00,Estadio Hidalgo,Pachuca de Soto,2022,Apertura - 1,Pachuca,Club Queretaro,True,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
A. Escobedo,2022-07-09T00:00:00+00:00,Estadio de Mazatlán,Mazatlán,2022,Apertura - 2,Mazatlán,Tigres UANL,False,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,
C. Ramos,2022-07-09T02:05:00+00:00,Estadio Cuauhtémoc,Puebla,2022,Apertura - 2,Puebla,Santos Laguna,True,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
Ó. Macías,2022-07-09T02:05:00+00:00,Estadio Caliente,Tijuana,2022,Apertura - 2,Club Tijuana,FC Juarez,False,True,0.0,2.0,0.0,0.0,0.0,2.0,,,,
Ó. Mejía,2022-07-10T00:05:00+00:00,Estadio AKRON,Zapopan,2022,Apertura - 2,Guadalajara Chivas,Atletico San Luis,False,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,
V. Cáceres,2022-07-10T02:05:00+00:00,Estadio Azteca,D.F.,2022,Apertura - 2,Cruz Azul,Pachuca,False,True,1.0,2.0,0.0,2.0,1.0,2.0,,,,
M. Ortíz,2022-07-10T02:05:00+00:00,Estadio BBVA,Guadalupe,2022,Apertura - 2,Monterrey,Club America,True,False,3.0,2.0,1.0,2.0,3.0,2.0,,,,
F. Hernández,2022-07-10T17:00:00+00:00,Estadio Nemesio Díez,Toluca de Lerdo,2022,Apertura - 2,Toluca,Atlas,True,False,3.0,2.0,3.0,1.0,3.0,2.0,,,,
F. Guerrero,2022-07-10T22:00:00+00:00,Estadio La Corregidora,Santiago de Querétaro,2022,Apertura - 2,Club Queretaro,Necaxa,False,True,1.0,2.0,1.0,1.0,1.0,2.0,,,,
J. Lopez,2022-07-10T00:00:00+00:00,Estadio León,León de los Aldamas,2022,Apertura - 2,Leon,U.N.A.M. - Pumas,,,3.0,3.0,0.0,2.0,3.0,3.0,,,,
A. Escobedo,2022-07-14T02:00:00+00:00,Estadio Azteca,D.F.,2022,Apertura - 3,Club America,Toluca,True,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
E. Miranda,2022-07-16T00:00:00+00:00,Estadio Cuauhtémoc,Puebla,2022,Apertura - 3,Puebla,Leon,,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
E. Galván,2022-07-16T02:05:00+00:00,Estadio Olímpico Benito Juárez,Ciudad Juárez,2022,Apertura - 3,FC Juarez,Club Queretaro,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Ó. Macías,2022-07-16T22:00:00+00:00,Estadio Jalisco,Guadalajara,2022,Apertura - 3,Atlas,Cruz Azul,True,False,3.0,2.0,1.0,1.0,3.0,2.0,,,,
M. Ortíz,2022-07-17T00:05:00+00:00,Estadio Nuevo Corona,Torreón,2022,Apertura - 3,Santos Laguna,Guadalajara Chivas,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
D. Quintero,2022-07-17T17:00:00+00:00,Estadio Olímpico de Universitario,D.F.,2022,Apertura - 3,U.N.A.M. - Pumas,Necaxa,True,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
F. Guerrero,2022-07-17T22:00:00+00:00,Estadio Alfonso Lastras Ramírez,San Luis Potosí,2022,Apertura - 3,Atletico San Luis,Monterrey,False,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
V. Cáceres,2022-07-18T00:00:00+00:00,Estadio Universitario de Nuevo León,San Nicolás de los Garza,2022,Apertura - 3,Tigres UANL,Club Tijuana,True,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
J. Camacho,2022-07-19T00:00:00+00:00,Estadio Hidalgo,Pachuca de Soto,2022,Apertura - 3,Pachuca,Mazatlán,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
J. Pérez,2022-07-21T02:05:00+00:00,Estadio AKRON,Zapopan,2022,Apertura - 4,Guadalajara Chivas,Leon,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
L. Santander,2022-07-22T02:00:00+00:00,Estadio La Corregidora,Santiago de Querétaro,2022,Apertura - 4,Club Queretaro,Monterrey,False,True,0.0,3.0,0.0,1.0,0.0,3.0,,,,
I. Lopez,2022-07-23T00:00:00+00:00,Estadio de Mazatlán,Mazatlán,2022,Apertura - 4,Mazatlán,Atletico San Luis,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,
C. Ramos,2022-07-23T02:05:00+00:00,Estadio Victoria de Aguascalientes,Aguascalientes,2022,Apertura - 4,Necaxa,FC Juarez,True,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
D. Montaño,2022-07-23T22:00:00+00:00,Estadio Nemesio Díez,Toluca de Lerdo,2022,Apertura - 4,Toluca,Santos Laguna,True,False,2.0,1.0,2.0,0.0,2.0,1.0,,,,
F. Guerrero,2022-07-24T00:05:00+00:00,Estadio Azteca,D.F.,2022,Apertura - 4,Cruz Azul,Puebla,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,
M. Ortíz,2022-07-24T02:05:00+00:00,Estadio Universitario de Nuevo León,San Nicolás de los Garza,2022,Apertura - 4,Tigres UANL,Atlas,True,False,2.0,0.0,2.0,0.0,2.0,0.0,,,,
F. Hernández,2022-07-24T01:00:00+00:00,Estadio Caliente,Tijuana,2022,Apertura - 4,Club Tijuana,Club America,True,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
B. González,2022-07-25T00:00:00+00:00,Estadio Hidalgo,Pachuca de Soto,2022,Apertura - 4,Pachuca,U.N.A.M. - Pumas,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
D. Montaño,2022-07-27T00:00:00+00:00,Estadio Jalisco,Guadalajara,2022,Apertura - 5,Atlas,Club Tijuana,False,True,1.0,2.0,1.0,2.0,1.0,2.0,,,,
Ó. Macías,2022-07-27T00:00:00+00:00,Estadio BBVA,Guadalupe,2022,Apertura - 5,Monterrey,Puebla,True,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
F. Hernández,2022-07-27T00:00:00+00:00,Estadio Olímpico Benito Juárez,Ciudad Juárez,2022,Apertura - 5,FC Juarez,Tigres UANL,False,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,
A. Escobedo,2022-07-27T02:05:00+00:00,Estadio Alfonso Lastras Ramírez,San Luis Potosí,2022,Apertura - 5,Atletico San Luis,Cruz Azul,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
G. Pacheco,2022-07-27T02:05:00+00:00,Estadio León,León de los Aldamas,2022,Apertura - 5,Leon,Toluca,False,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
C. Ramos,2022-07-28T00:00:00+00:00,Estadio La Corregidora,Santiago de Querétaro,2022,Apertura - 5,Club Queretaro,Guadalajara Chivas,,,2.0,2.0,1.0,1.0,2.0,2.0,,,,
J. Pérez,2022-07-28T00:00:00+00:00,Estadio Victoria de Aguascalientes,Aguascalientes,2022,Apertura - 5,Necaxa,Pachuca,True,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
L. Santander,2022-07-28T02:05:00+00:00,Estadio Olímpico de Universitario,D.F.,2022,Apertura - 5,U.N.A.M. - Pumas,Mazatlán,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
F. Hernández,2022-09-15T02:05:00+00:00,Estadio Azteca,D.F.,2022,Apertura - 5,Club America,Santos Laguna,,,3.0,3.0,1.0,2.0,3.0,3.0,,,,
F. Guerrero,2022-07-30T02:05:00+00:00,Estadio Olímpico Benito Juárez,Ciudad Juárez,2022,Apertura - 6,FC Juarez,Toluca,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
E. Miranda,2022-07-30T22:00:00+00:00,Estadio Azteca,D.F.,2022,Apertura - 6,Cruz Azul,Necaxa,True,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
I. Lopez,2022-07-31T00:05:00+00:00,Estadio Universitario de Nuevo León,San Nicolás de los Garza,2022,Apertura - 6,Tigres UANL,Club Queretaro,True,False,2.0,1.0,1.0,1.0,2.0,1.0,,,,
A. Escobedo,2022-07-31T02:05:00+00:00,Estadio AKRON,Zapopan,2022,Apertura - 6,Guadalajara Chivas,Pachuca,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
M. Ortíz,2022-07-31T02:05:00+00:00,Estadio Cuauhtémoc,Puebla,2022,Apertura - 6,Puebla,Atletico San Luis,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
D. Quintero,2022-07-31T02:05:00+00:00,Estadio Caliente,Tijuana,2022,Apertura - 6,Club Tijuana,Mazatlán,True,False,2.0,0.0,0.0,0.0,2.0,0.0,,,,
D. Montaño,2022-07-31T17:00:00+00:00,Estadio Olímpico de Universitario,D.F.,2022,Apertura - 6,U.N.A.M. - Pumas,Monterrey,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,
C. Ramos,2022-08-01T00:05:00+00:00,Estadio Nuevo Corona,Torreón,2022,Apertura - 6,Santos Laguna,Atlas,True,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
Ó. Macías,2022-08-01T02:05:00+00:00,Estadio León,León de los Aldamas,2022,Apertura - 6,Leon,Club America,True,False,3.0,2.0,1.0,1.0,3.0,2.0,,,,
F. Guerrero,2022-08-05T02:00:00+00:00,Estadio Jalisco,Guadalajara,2022,Apertura - 7,Atlas,Club Queretaro,True,False,3.0,1.0,0.0,1.0,3.0,1.0,,,,
A. Escobedo,2022-09-24T02:05:00+00:00,Estadio Cuauhtémoc,Puebla,2022,Apertura - 7,Puebla,U.N.A.M. - Pumas,True,False,2.0,1.0,2.0,0.0,2.0,1.0,,,,
J. Camacho,2022-08-06T02:05:00+00:00,Estadio de Mazatlán,Mazatlán,2022,Apertura - 7,Mazatlán,Guadalajara Chivas,True,False,2.0,1.0,0.0,0.0,2.0,1.0,,,,
M. Ortíz,2022-08-07T00:05:00+00:00,Estadio BBVA,Guadalupe,2022,Apertura - 7,Monterrey,Leon,True,False,5.0,1.0,3.0,0.0,5.0,1.0,,,,
L. Santander,2022-08-08T01:05:00+00:00,Estadio Azteca,D.F.,2022,Apertura - 7,Club America,FC Juarez,True,False,2.0,1.0,0.0,0.0,2.0,1.0,,,,
Ó. Macías,2022-08-07T02:05:00+00:00,Estadio Nuevo Corona,Torreón,2022,Apertura - 7,Santos Laguna,Cruz Azul,True,False,4.0,0.0,1.0,0.0,4.0,0.0,,,,
C. Ramos,2022-08-07T17:00:00+00:00,Estadio Nemesio Díez,Toluca de Lerdo,2022,Apertura - 7,Toluca,Club Tijuana,True,False,3.0,1.0,1.0,1.0,3.0,1.0,,,,
E. Galván,2022-08-07T21:00:00+00:00,Estadio Alfonso Lastras Ramírez,San Luis Potosí,2022,Apertura - 7,Atletico San Luis,Necaxa,False,True,1.0,2.0,1.0,2.0,1.0,2.0,,,,
D. Quintero,2022-08-07T23:05:00+00:00,Estadio Hidalgo,Pachuca de Soto,2022,Apertura - 7,Pachuca,Tigres UANL,True,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
E. Miranda,2022-08-12T02:00:00+00:00,Estadio La Corregidora,Santiago de Querétaro,2022,Apertura - 8,Club Queretaro,Atletico San Luis,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
G. Pacheco,2022-08-13T02:00:00+00:00,Estadio Victoria de Aguascalientes,Aguascalientes,2022,Apertura - 8,Necaxa,Monterrey,False,True,1.0,2.0,1.0,0.0,1.0,2.0,,,,
L. Santander,2022-08-13T02:05:00+00:00,Estadio Caliente,Tijuana,2022,Apertura - 8,Club Tijuana,Puebla,,,3.0,3.0,1.0,1.0,3.0,3.0,,,,
V. Cáceres,2022-09-15T02:05:00+00:00,Estadio Olímpico Benito Juárez,Ciudad Juárez,2022,Apertura - 8,FC Juarez,Pachuca,True,False,2.0,1.0,2.0,1.0,2.0,1.0,,,,
E. Galván,2022-08-13T22:00:00+00:00,Estadio León,León de los Aldamas,2022,Apertura - 8,Leon,Mazatlán,False,True,0.0,3.0,0.0,3.0,0.0,3.0,,,,
A. Escobedo,2022-08-14T00:05:00+00:00,Estadio Olímpico de Universitario,D.F.,2022,Apertura - 8,U.N.A.M. - Pumas,Club America,False,True,0.0,3.0,0.0,1.0,0.0,3.0,,,,
M. Ortíz,2022-08-14T02:05:00+00:00,Estadio AKRON,Zapopan,2022,Apertura - 8,Guadalajara Chivas,Atlas,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
F. Hernández,2022-08-14T22:00:00+00:00,Estadio Azteca,D.F.,2022,Apertura - 8,Cruz Azul,Toluca,False,True,2.0,3.0,1.0,2.0,2.0,3.0,,,,
D. Montaño,2022-08-15T00:05:00+00:00,Estadio Universitario de Nuevo León,San Nicolás de los Garza,2022,Apertura - 8,Tigres UANL,Santos Laguna,True,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
A. Escobedo,2022-08-17T00:00:00+00:00,Estadio Jalisco,Guadalajara,2022,Apertura - 9,Atlas,FC Juarez,False,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
L. Santander,2022-08-17T01:00:00+00:00,Estadio de Mazatlán,Mazatlán,2022,Apertura - 9,Mazatlán,Club Queretaro,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
F. Guerrero,2022-08-17T02:05:00+00:00,Estadio Cuauhtémoc,Puebla,2022,Apertura - 9,Puebla,Necaxa,,,2.0,2.0,1.0,0.0,2.0,2.0,,,,
D. Quintero,2022-08-18T00:00:00+00:00,Estadio Nemesio Díez,Toluca de Lerdo,2022,Apertura - 9,Toluca,Monterrey,,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
D. Montaño,2022-08-18T02:05:00+00:00,Estadio Azteca,D.F.,2022,Apertura - 9,Cruz Azul,Club Tijuana,False,True,1.0,2.0,1.0,1.0,1.0,2.0,,,,
C. Ramos,2022-08-18T02:05:00+00:00,Estadio Hidalgo,Pachuca de Soto,2022,Apertura - 9,Pachuca,Club America,False,True,0.0,3.0,0.0,1.0,0.0,3.0,,,,
V. Cáceres,2022-08-19T00:05:00+00:00,Estadio Nuevo Corona,Torreón,2022,Apertura - 9,Santos Laguna,Leon,True,False,2.0,1.0,1.0,1.0,2.0,1.0,,,,
Ó. Macías,2022-08-19T02:05:00+00:00,Estadio Alfonso Lastras Ramírez,San Luis Potosí,2022,Apertura - 9,Atletico San Luis,U.N.A.M. - Pumas,True,False,3.0,2.0,1.0,2.0,3.0,2.0,,,,
F. Guerrero,2022-09-14T02:05:00+00:00,Estadio AKRON,Zapopan,2022,Apertura - 9,Guadalajara Chivas,Tigres UANL,False,True,1.0,4.0,0.0,2.0,1.0,4.0,,,,
Ó. Mejía,2022-08-20T00:00:00+00:00,Estadio Victoria de Aguascalientes,Aguascalientes,2022,Apertura - 10,Necaxa,Guadalajara Chivas,False,True,0.0,4.0,0.0,2.0,0.0,4.0,,,,
D. Quintero,2022-08-21T02:05:00+00:00,Estadio Olímpico Benito Juárez,Ciudad Juárez,2022,Apertura - 10,FC Juarez,Mazatlán,,,1.0,1.0,0.0,1.0,1.0,1.0,,,,
G. Pacheco,2022-08-20T22:00:00+00:00,Estadio La Corregidora,Santiago de Querétaro,2022,Apertura - 10,Club Queretaro,Club Tijuana,True,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
C. Ramos,2022-08-21T00:05:00+00:00,Estadio Jalisco,Guadalajara,2022,Apertura - 10,Atlas,Puebla,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,
F. Guerrero,2022-08-21T00:05:00+00:00,Estadio BBVA,Guadalupe,2022,Apertura - 10,Monterrey,Tigres UANL,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
L. Santander,2022-08-21T02:05:00+00:00,Estadio Azteca,D.F.,2022,Apertura - 10,Club America,Cruz Azul,True,False,7.0,0.0,3.0,0.0,7.0,0.0,,,,
M. Ortíz,2022-08-21T17:00:00+00:00,Estadio Olímpico de Universitario,D.F.,2022,Apertura - 10,U.N.A.M. - Pumas,Santos Laguna,False,True,1.0,5.0,0.0,3.0,1.0,5.0,,,,
D. Montaño,2022-08-21T22:00:00+00:00,Estadio Alfonso Lastras Ramírez,San Luis Potosí,2022,Apertura - 10,Atletico San Luis,Toluca,True,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
I. Lopez,2022-08-22T00:05:00+00:00,Estadio Hidalgo,Pachuca de Soto,2022,Apertura - 10,Pachuca,Leon,True,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
M. Ortíz,2022-08-27T00:00:00+00:00,Estadio Cuauhtémoc,Puebla,2022,Apertura - 11,Puebla,FC Juarez,,,2.0,2.0,1.0,1.0,2.0,2.0,,,,
E. Miranda,2022-08-27T02:05:00+00:00,Estadio de Mazatlán,Mazatlán,2022,Apertura - 11,Mazatlán,Club America,False,True,1.0,3.0,1.0,2.0,1.0,3.0,,,,
D. Quintero,2022-08-27T22:00:00+00:00,Estadio Azteca,D.F.,2022,Apertura - 11,Cruz Azul,Club Queretaro,True,False,2.0,1.0,1.0,0.0,2.0,1.0,,,,
F. Hernández,2022-08-28T00:05:00+00:00,Estadio Universitario de Nuevo León,San Nicolás de los Garza,2022,Apertura - 11,Tigres UANL,Necaxa,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
D. Montaño,2022-08-28T02:05:00+00:00,Estadio AKRON,Zapopan,2022,Apertura - 11,Guadalajara Chivas,U.N.A.M. - Pumas,True,False,3.0,1.0,3.0,1.0,3.0,1.0,,,,
G. Pacheco,2022-08-28T17:00:00+00:00,Estadio Nemesio Díez,Toluca de Lerdo,2022,Apertura - 11,Toluca,Pachuca,False,True,1.0,4.0,0.0,2.0,1.0,4.0,,,,
F. Guerrero,2022-08-29T00:05:00+00:00,Estadio Nuevo Corona,Torreón,2022,Apertura - 11,Santos Laguna,Atletico San Luis,True,False,4.0,1.0,1.0,0.0,4.0,1.0,,,,
Ó. Macías,2022-08-29T00:00:00+00:00,Estadio León,León de los Aldamas,2022,Apertura - 11,Leon,Atlas,True,False,4.0,2.0,1.0,1.0,4.0,2.0,,,,
B. González,2022-08-29T02:05:00+00:00,Estadio Caliente,Tijuana,2022,Apertura - 11,Club Tijuana,Monterrey,False,True,0.0,3.0,0.0,0.0,0.0,3.0,,,,
D. Quintero,2022-09-02T00:00:00+00:00,Estadio Alfonso Lastras Ramírez,San Luis Potosí,2022,Apertura - 12,Atletico San Luis,Club Tijuana,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
I. Lopez,2022-09-02T02:05:00+00:00,Estadio La Corregidora,Santiago de Querétaro,2022,Apertura - 12,Club Queretaro,Puebla,,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
M. Ortíz,2022-09-03T00:00:00+00:00,Estadio Victoria de Aguascalientes,Aguascalientes,2022,Apertura - 12,Necaxa,Leon,True,False,3.0,2.0,3.0,0.0,3.0,2.0,,,,
B. González,2022-09-03T02:05:00+00:00,Estadio Olímpico Benito Juárez,Ciudad Juárez,2022,Apertura - 12,FC Juarez,Cruz Azul,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,
F. Hernández,2022-09-03T22:05:00+00:00,Estadio Hidalgo,Pachuca de Soto,2022,Apertura - 12,Pachuca,Santos Laguna,True,False,2.0,0.0,0.0,0.0,2.0,0.0,,,,
V. Cáceres,2022-09-04T00:05:00+00:00,Estadio BBVA,Guadalupe,2022,Apertura - 12,Monterrey,Mazatlán,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
L. Santander,2022-09-04T00:05:00+00:00,Estadio Jalisco,Guadalajara,2022,Apertura - 12,Atlas,U.N.A.M. - Pumas,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
D. Montaño,2022-09-04T02:05:00+00:00,Estadio Azteca,D.F.,2022,Apertura - 12,Club America,Tigres UANL,True,False,2.0,1.0,2.0,1.0,2.0,1.0,,,,
C. Ramos,2022-09-04T22:00:00+00:00,Estadio Nemesio Díez,Toluca de Lerdo,2022,Apertura - 12,Toluca,Guadalajara Chivas,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
J. Camacho,2022-09-07T00:00:00+00:00,Estadio León,León de los Aldamas,2022,Apertura - 13,Leon,FC Juarez,True,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
D. Quintero,2022-09-07T00:05:00+00:00,Estadio Nuevo Corona,Torreón,2022,Apertura - 13,Santos Laguna,Necaxa,True,False,3.0,1.0,1.0,0.0,3.0,1.0,,,,
Ó. Mejía,2022-09-07T02:05:00+00:00,Estadio BBVA,Guadalupe,2022,Apertura - 13,Monterrey,Cruz Azul,True,False,3.0,2.0,2.0,1.0,3.0,2.0,,,,
V. Cáceres,2022-09-07T02:05:00+00:00,Estadio Azteca,D.F.,2022,Apertura - 13,Club America,Atletico San Luis,True,False,3.0,0.0,1.0,0.0,3.0,0.0,,,,
A. Escobedo,2022-09-08T00:00:00+00:00,Estadio Cuauhtémoc,Puebla,2022,Apertura - 13,Puebla,Pachuca,,,2.0,2.0,1.0,0.0,2.0,2.0,,,,
M. Ortíz,2022-09-08T00:00:00+00:00,Estadio Universitario de Nuevo León,San Nicolás de los Garza,2022,Apertura - 13,Tigres UANL,Toluca,True,False,3.0,1.0,1.0,0.0,3.0,1.0,,,,
C. Ramos,2022-09-08T02:05:00+00:00,Estadio Olímpico de Universitario,D.F.,2022,Apertura - 13,U.N.A.M. - Pumas,Club Queretaro,True,False,4.0,1.0,1.0,1.0,4.0,1.0,,,,
G. Pacheco,2022-09-08T02:05:00+00:00,Estadio Caliente,Tijuana,2022,Apertura - 13,Club Tijuana,Guadalajara Chivas,False,True,1.0,2.0,0.0,0.0,1.0,2.0,,,,
F. Hernández,2022-09-08T02:00:00+00:00,Estadio de Mazatlán,Mazatlán,2022,Apertura - 13,Mazatlán,Atlas,True,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
F. Guerrero,2022-09-11T00:00:00+00:00,Estadio Victoria de Aguascalientes,Aguascalientes,2022,Apertura - 14,Necaxa,Club America,False,True,1.0,2.0,1.0,0.0,1.0,2.0,,,,
D. Montaño,2022-09-10T02:05:00+00:00,Estadio Olímpico Benito Juárez,Ciudad Juárez,2022,Apertura - 14,FC Juarez,Monterrey,False,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
L. Santander,2022-09-10T22:00:00+00:00,Estadio La Corregidora,Santiago de Querétaro,2022,Apertura - 14,Club Queretaro,Santos Laguna,,,3.0,3.0,2.0,1.0,3.0,3.0,,,,
A. Escobedo,2022-09-11T00:05:00+00:00,Estadio Universitario de Nuevo León,San Nicolás de los Garza,2022,Apertura - 14,Tigres UANL,Leon,False,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,
F. Hernández,2022-09-11T02:05:00+00:00,Estadio Nemesio Díez,Toluca de Lerdo,2022,Apertura - 14,Toluca,U.N.A.M. - Pumas,,,2.0,2.0,0.0,1.0,2.0,2.0,,,,
D. Quintero,2022-09-11T02:05:00+00:00,Estadio AKRON,Zapopan,2022,Apertura - 14,Guadalajara Chivas,Puebla,True,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
C. Ramos,2022-09-11T21:00:00+00:00,Estadio Azteca,D.F.,2022,Apertura - 14,Cruz Azul,Mazatlán,True,False,2.0,0.0,2.0,0.0,2.0,0.0,,,,
Ó. Mejía,2022-09-11T23:05:00+00:00,Estadio Jalisco,Guadalajara,2022,Apertura - 14,Atlas,Atletico San Luis,False,True,1.0,3.0,1.0,0.0,1.0,3.0,,,,
Ó. Macías,2022-09-12T01:05:00+00:00,Estadio Hidalgo,Pachuca de Soto,2022,Apertura - 14,Pachuca,Club Tijuana,True,False,6.0,1.0,2.0,0.0,6.0,1.0,,,,
C. Ramos,2022-09-17T00:00:00+00:00,Estadio Cuauhtémoc,Puebla,2022,Apertura - 15,Puebla,Tigres UANL,True,False,2.0,1.0,2.0,1.0,2.0,1.0,,,,
D. Quintero,2022-09-17T02:00:00+00:00,Estadio de Mazatlán,Mazatlán,2022,Apertura - 15,Mazatlán,Toluca,,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
L. Santander,2022-09-19T02:00:00+00:00,Estadio Alfonso Lastras Ramírez,San Luis Potosí,2022,Apertura - 15,Atletico San Luis,Pachuca,False,True,1.0,2.0,1.0,1.0,1.0,2.0,,,,
M. Ortíz,2022-09-18T00:05:00+00:00,Estadio BBVA,Guadalupe,2022,Apertura - 15,Monterrey,Atlas,True,False,2.0,0.0,0.0,0.0,2.0,0.0,,,,
A. Escobedo,2022-09-18T01:00:00+00:00,Estadio Azteca,D.F.,2022,Apertura - 15,Club America,Guadalajara Chivas,True,False,2.0,1.0,1.0,0.0,2.0,1.0,,,,
F. Guerrero,2022-09-18T22:00:00+00:00,Estadio Olímpico de Universitario,D.F.,2022,Apertura - 15,U.N.A.M. - Pumas,Cruz Azul,False,True,1.0,2.0,0.0,2.0,1.0,2.0,,,,
Ó. Macías,2022-09-19T00:05:00+00:00,Estadio Nuevo Corona,Torreón,2022,Apertura - 15,Santos Laguna,FC Juarez,True,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
Ó. Mejía,2022-09-19T00:05:00+00:00,Estadio León,León de los Aldamas,2022,Apertura - 15,Leon,Club Queretaro,True,False,3.0,1.0,2.0,1.0,3.0,1.0,,,,
D. Montaño,2022-09-19T02:05:00+00:00,Estadio Caliente,Tijuana,2022,Apertura - 15,Club Tijuana,Necaxa,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,
V. Cáceres,2022-08-03T01:00:00+00:00,Estadio Nemesio Díez,Toluca de Lerdo,2022,Apertura - 16,Toluca,Puebla,,,1.0,1.0,0.0,1.0,1.0,1.0,,,,
Ó. Macías,2022-08-04T00:00:00+00:00,Estadio Olímpico Benito Juárez,Ciudad Juárez,2022,Apertura - 16,FC Juarez,Atletico San Luis,,,1.0,1.0,0.0,1.0,1.0,1.0,,,,
